split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_test,confidence,0.9983820915222168,0.6800934033858728,0.009442060085836923,2330,3426
known_test,confidence,0.9986013770103455,0.669877408056042,0.008714596949891074,2295,3426
known_test,confidence,0.9988671243190765,0.6599532983070636,0.008403361344537785,2261,3426
known_test,confidence,0.9990208148956299,0.6500291885580852,0.007184553210597189,2227,3426
known_test,confidence,0.9991833567619324,0.6401050788091068,0.006383948928408545,2193,3426
known_test,confidence,0.9992999732494354,0.6298890834792761,0.0060240963855421326,2158,3426
known_test,confidence,0.9993903636932373,0.6199649737302977,0.005649717514124242,2124,3426
known_test,confidence,0.9994986057281494,0.6100408639813193,0.0052631578947368585,2090,3426
known_test,confidence,0.9995778203010559,0.6001167542323409,0.004863813229571967,2056,3426
known_test,confidence,0.9996533989906311,0.5899007589025103,0.003958436417615063,2021,3426
known_test,confidence,0.9997096657752991,0.5799766491535319,0.004026170105686955,1987,3426
known_test,confidence,0.9997393786907196,0.5700525394045534,0.004096262160778297,1953,3426
known_test,confidence,0.9997711777687073,0.5604203152364273,0.003645833333333348,1920,3426
known_test,confidence,0.9997946619987488,0.5502043199065966,0.003713527851458842,1885,3426
known_test,confidence,0.999830961227417,0.5399883245767659,0.003783783783783745,1850,3426
known_test,confidence,0.9998545944690704,0.5300642148277875,0.0033039647577092213,1816,3426
known_test,confidence,0.9998739957809448,0.5201401050788091,0.0033670033670033517,1782,3426
known_test,confidence,0.9998909533023834,0.5099241097489784,0.0034344590726960167,1747,3426
known_test,confidence,0.9999039769172668,0.5,0.0029188558085230243,1713,3426
known_test,confidence,0.9999169111251831,0.4903677758318739,0.0023809523809523725,1680,3426
known_test,confidence,0.9999343156814575,0.4801517805020432,0.002431610942249196,1645,3426
known_test,confidence,0.999945878982544,0.4702276707530648,0.0024829298572315306,1611,3426
known_test,confidence,0.999954104423523,0.46001167542323407,0.0025380710659898,1576,3426
known_test,confidence,0.9999614953994751,0.450379451255108,0.0025923525599481634,1543,3426
known_test,confidence,0.9999662637710571,0.4401634559252773,0.0019893899204244114,1508,3426
known_test,confidence,0.9999721050262451,0.4299474605954466,0.0020366598778004397,1473,3426
known_test,confidence,0.9999765753746033,0.4200233508464682,0.0020847810979847115,1439,3426
known_test,confidence,0.9999793171882629,0.4100992410974898,0.002135231316725994,1405,3426
known_test,confidence,0.9999814033508301,0.4004670169293637,0.001457725947521915,1372,3426
known_test,confidence,0.9999837279319763,0.38995913601868065,0.0014970059880239361,1336,3426
known_test,confidence,0.9999864101409912,0.38032691185055456,0.0015349194167306734,1303,3426
known_test,confidence,0.9999885559082031,0.37040280210157617,0.0015760441292356209,1269,3426
known_test,confidence,0.9999903440475464,0.3613543490951547,0.001615508885298822,1238,3426
known_test,confidence,0.9999916553497314,0.3502626970227671,0.0016666666666667052,1200,3426
known_test,confidence,0.9999926686286926,0.3400467016929364,0.0017167381974249052,1165,3426
known_test,confidence,0.9999939203262329,0.3309982486865149,0.0017636684303351524,1134,3426
known_test,confidence,0.9999948740005493,0.3204903677758319,0.0018214936247723523,1098,3426
known_test,confidence,0.9999955892562866,0.3108581436077058,0.00187793427230043,1065,3426
known_test,confidence,0.9999961853027344,0.30093403385872736,0.0019398642095053154,1031,3426
known_test,confidence,0.9999966621398926,0.29042615294804436,0.0020100502512563345,995,3426
known_test,confidence,0.9999970197677612,0.2822533566841798,0.0020682523267838704,967,3426
known_test,confidence,0.999997615814209,0.2726211325160537,0.0021413276231263545,934,3426
known_test,confidence,0.9999980926513672,0.2603619381202569,0.0022421524663677195,892,3426
known_test,confidence,0.9999983310699463,0.2524810274372446,0.0023121387283236983,865,3426
known_test,confidence,0.9999986886978149,0.24080560420315236,0.00242424242424244,825,3426
known_test,confidence,0.999998927116394,0.23321657910099242,0.0025031289111389077,799,3426
known_test,confidence,0.9999991655349731,0.22358435493286632,0.0026109660574412663,766,3426
known_test,confidence,0.9999992847442627,0.2174547577349679,0.0026845637583892135,745,3426
known_test,confidence,0.9999994039535522,0.20636310566258026,0.0028288543140028155,707,3426
known_test,confidence,0.9999995231628418,0.19439579684763572,0.0015015015015015232,666,3426
known_test,confidence,0.9999996423721313,0.18476357267950963,0.0015797788309637184,633,3426
known_test,confidence,0.9999997615814209,0.1739638061879743,0.001677852348993314,596,3426
known_test,confidence,0.9999997615814209,0.1739638061879743,0.001677852348993314,596,3426
known_test,confidence,0.9999998807907104,0.1584938704028021,0.0018416206261510082,543,3426
known_test,confidence,0.9999998807907104,0.1584938704028021,0.0018416206261510082,543,3426
known_test,confidence,0.9999998807907104,0.1584938704028021,0.0018416206261510082,543,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_test,confidence,1.0,0.12113251605370695,0.002409638554216831,415,3426
known_val,max_logit,0.4808884263038635,1.0,0.07696810067310511,3417,3417
known_val,max_logit,2.2384972095489504,0.9897570968685981,0.07037256061502073,3382,3417
known_val,max_logit,2.6412840270996094,0.9798068481123793,0.06660692951015534,3348,3417
known_val,max_logit,3.0968199920654293,0.9698565993561604,0.061557030778515376,3314,3417
known_val,max_logit,3.4182714843750004,0.9599063505999414,0.05853658536585371,3280,3417
known_val,max_logit,3.6873822689056395,0.9499561018437226,0.05637707948243997,3246,3417
known_val,max_logit,3.923919267654419,0.9400058530875036,0.053860523038605224,3212,3417
known_val,max_logit,4.103411769866943,0.9297629499561019,0.05099150141643061,3177,3417
known_val,max_logit,4.316229782104493,0.9198127011998829,0.04899777282850781,3143,3417
known_val,max_logit,4.538953247070313,0.909862452443664,0.04696043743969125,3109,3417
known_val,max_logit,4.718832588195801,0.8999122036874452,0.043577235772357725,3075,3417
known_val,max_logit,5.03525915145874,0.8899619549312262,0.04209141729694177,3041,3417
known_val,max_logit,5.187654132843018,0.8800117061750073,0.03924176920518785,3007,3417
known_val,max_logit,5.374793205261231,0.8697688030436055,0.03802153432032307,2972,3417
known_val,max_logit,5.542131061553955,0.8598185542873866,0.03778080326752897,2938,3417
known_val,max_logit,5.731474781036376,0.8498683055311677,0.03615702479338845,2904,3417
known_val,max_logit,5.942965984344482,0.8402107111501317,0.03517938000696619,2871,3417
known_val,max_logit,6.119422397613525,0.8299678080187298,0.0342031029619182,2836,3417
known_val,max_logit,6.279466953277588,0.820017559262511,0.03319057815845827,2802,3417
